ID,Gender,Age,Occupation,Income,Shopping_Freq,RA1,RA2,RA3,RT1,RT2,RT3,EI1,EI2,EI3,PP1,PP2,PP3,ER1,ER2,ER3,PC1,PC2,PC3,IB1,IB2,IB3,IB4,IT1,IT2,IT3,IT4
1,2,4,5,4,2,5,5,4,5,4,5,4,3,5,5,5,5,4,3,3,5,3,5,5,5,5,4,3,2,4,3
2,1,2,2,5,2,5,5,5,4,4,4,4,3,2,2,2,1,3,2,2,4,3,2,4,5,5,3,4,3,3,3
3,1,3,3,1,5,4,3,2,3,4,4,3,3,3,3,4,5,4,5,5,3,3,4,4,4,5,3,3,3,2,5
4,2,2,1,2,2,5,5,5,5,4,5,5,4,3,5,5,5,4,2,3,3,5,4,5,5,5,5,4,5,3,5
5,2,3,6,5,2,5,5,5,4,5,5,5,5,4,5,5,5,3,3,3,5,4,5,4,4,5,4,5,5,5,5
6,2,2,1,1,4,4,3,4,4,5,5,2,2,1,4,4,3,2,2,3,2,2,2,4,3,3,3,2,2,1,1
7,2,4,4,5,2,4,4,5,4,4,3,5,4,3,4,3,4,2,4,3,5,2,3,2,2,2,2,3,5,3,3
8,2,2,6,3,5,2,4,3,3,4,2,4,3,3,2,3,3,4,4,4,4,3,3,5,4,3,4,3,5,3,4
9,2,2,1,2,4,3,3,2,5,5,4,2,3,1,5,5,5,4,4,4,4,5,4,4,4,3,3,3,4,2,3
10,1,2,1,3,4,3,4,4,3,2,2,5,5,5,5,4,5,5,5,5,4,4,5,4,4,5,5,5,5,4,5
11,1,4,5,3,4,1,2,2,3,4,2,4,3,2,5,3,4,4,4,4,3,3,4,4,2,4,3,2,3,2,2
12,2,3,2,3,3,2,4,4,5,5,5,3,5,4,5,5,5,4,5,4,3,3,5,5,5,5,4,3,3,5,5
13,2,2,2,2,3,4,4,4,4,3,5,4,5,3,2,3,3,4,5,5,2,1,3,4,3,3,3,4,4,5,3
14,1,5,4,2,4,3,4,3,1,2,2,2,5,4,4,4,3,5,5,5,3,4,2,1,2,1,3,2,3,3,1
15,2,3,1,1,4,3,3,3,3,4,3,3,2,2,4,4,4,4,5,3,3,1,1,2,3,2,4,1,1,1,3
16,2,3,2,2,4,5,4,5,3,4,3,4,4,4,4,5,5,5,5,4,4,4,4,3,5,4,4,5,5,5,5
